tweets,Sentiment_type
"@GajoTweets @toolzbeib @dawisu @dadiyata @Omojuwa @OgbeniDipo @atyaks #FreeDawisu 
#EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo",Neutral
"#Np - If E Happen For Lagos - @iRuntown on #TheShoutOutShow w/ @YawngBoss775 at @RhythmFmYenagoa 
#RhythmNation #MoreMusicStation

Davido Nasty C #CHEMUN #EndSARS #SaturdayVibes  #BaddestBoyOnRadio Mama Ganduje #BuhariResignNow",Negative
Nnamdi Kanu Threatens Governor Wike Over Obigbo ‘killings’ rantgram.com/nnamdi-kanu-th… #EndSARS #EndBadGovernanceInNigeria #EndBadGoveranceInNigeria #Biafra #BiafraExit #BiafraReferendum #Biafran,Neutral
"@GovNiger These are not #Endsars, no looters, no criminals but they're the future, leaders of tomorrow as widely used to say. These killers are more powerful than the govt, which shows the incapability of the leading govt. This is what makes us ousted the useless past govt
...✍✍✍ https://t.co/zJKb9V4uqJ",Negative
"If someone's liberation upsets you, there is a good chance you were benefitting from their oppression.
#EndBadGoveranceInNigeria 
#EndSARS",Positive
"#Np - Chulo Bothers Nobody - @timayatimaya on #TheShoutOutShow w/ @YawngBoss775 at @RhythmFmYenagoa 
#RhythmNation #MoreMusicStation

Davido Nasty C #CHEMUN #EndSARS #SaturdayVibes  #BaddestBoyOnRadio Mama Ganduje #BuhariResignNow",Negative
"They're now start again
#EndSARS twitter.com/sars_watch/sta…",Neutral
@LeadershipNGA Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
@thecableng @GovUmarGanduje @dawisu @MBuhari Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
@SaharaReporters @OfficialAPCNg Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
"#Np - Bolo Bolo Happiness in the Cave - @StayCavy on #TheShoutOutShow w/ @YawngBoss775 at @RhythmFmYenagoa 
#RhythmNation #MoreMusicStation

Davido Nasty C #CHEMUN #EndSARS #SaturdayVibes  #BaddestBoyOnRadio Mama Ganduje #BuhariResignNow",Negative
"Don't get carried away. We are having Local government elections in Lagos State very soon. Dear youths, go &amp; get your PVC. If @OfficialAPCNg wins another election in Lagos State. It simply means Lagosians are slave &amp; those who died during #EndSARS &amp; #LekkiMassacre died 4 nothing",Positive
@DailyPostNGR Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
@ARISEtv Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
@obyezeks @NGRPresident @MBuhari @dawisu Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS https://t.co/9BcMDnq1yl,Negative
"@RobinToal @realAnon369 @BBCWorld If you heard about #EndSARS in Nigeria, had it been that you followed the whole thing, you will understand how evil that woman is, during that #LekkiMassacre , that Woman British Embassador to Nigeria spearheaded that, do you even know that Britain have been finding SARS?",Negative
"#lautech
#bobrisky
#davido
#EndSARS 
#MadeinLagos Time flies😫😫😫 https://t.co/EZ964qzOe7",Neutral
@SaharaReporters @MBuhari @OfficialAPCNg Evil men stop the intimidation of righteous me  #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Negative
@thecableng Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS https://t.co/1MfJB4Nik8,Negative
Damn crypto and #EndSars... twitter.com/Nairametrics/s…,Neutral
@FS_Yusuf_ Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS https://t.co/fjICEE8gzV,Negative
#EndSARS #LekkiMassacre my follow youth @APC @PDP they all failed us. All the politician in Nigeria  is a failure. From 1st to last.,Negative
@agbajalingo_ Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS https://t.co/fqaOoojmAo,Negative
@GazetteNGR Fine. #ReleaseTankoYakasai it’s not a crime to speak the truth: the criminal #APC &amp; @MBuhari Govt thinks it’s criminal to speak out against injustice. There’s already an impending exodus of dissatisfied @OfficialAPCNg supporters from the #APC #BuhariMustGo #OccupyNigeria #EndSARS,Negative
"Sick.
I remember that #EndSARS protesters were treated as domestic terrorists for demanding fair treatment, but Boko Haram kidnapping hundreds of girls, again and again, is just nothing. Someone, stop them. Freaking end these monsters for good. twitter.com/CP24/status/13…",Positive
"@SmithVinci @akliveen #EndSars protests wasn't political,the way I saw it.
Lebron James however,is only vocal about liberal/Democrat issues...that's political!",Neutral
"STOP PRESS

Dear Lagosians, you are in bondage. Lagosians, you are in chains. The local government election is upon us. Now is your chance to prove you are not Tinubu's slave. Now is your time to pay Tinubu and Sanwoolu back for #Endsars and #LekkiMassacre  and #Lekkitollgate",Neutral
"In Buhari's APC government. Let's put a date to it, since 29th may, 2015.

#EndSARS 
#EndBadGovernanceInNigeria twitter.com/DeleMomodu/sta…",Neutral
Even when it's black they want everyone to see it as white #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo twitter.com/NigeriaNewsdes…,Negative
#EndSARS 2.0 loading... twitter.com/GazetteNGR/sta…,Neutral
"Just criticise #Buhari's government small and you are done for.

This is a government and person who's famous for criticism of past governments.

#EndBandictry
#EndSARS twitter.com/Omojuwa/status…",Neutral
"Same NBC than banned TV stations and radio stations not to cover anything about #EndSARS???

Lol, I don't rate those clueless folks...infact thunder kukwagi ontop sef
#NBCBansThunderfireyou https://t.co/fqGAeyFIuM",Positive
When 🇳🇬 had a President. #endinsecurityinthenorth #EndSARS 2.0 loading... twitter.com/maazi_chinedu/…,Neutral
@GEJonathan What says you of the continuing and constant abduction of students and Nigerians Sir? #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Neutral
"@Omojuwa @USinNigeria @UKinNigeria @dawisu If the #endsars movement taught us anything, it  is that we are all we've got bro",Neutral
"Insecurity, we've not had it this bad since democracy. Crimimals run around helter-skelter while the government shy away from their primary responsibility: protecting the lives of it's citizenry. 
#badgovernmentinnigeria 
#sorosokegeneration 
#FreeDawisu 
#EndSARS",Negative
Ooh those bandits/terrorists operating freely all over Nigeria must be quaking in their boot just because of the prattling of one feeble old tyrant. Apparently @MBuhari is the only one who doesn't know that he is just a president only in name. #EndBadGovernanceInNigeria #EndSARS twitter.com/MBuhari/status…,Positive
"🤣🤣 wahala wear face mask 
Music is in me, I wanna burst out🔥 
I drop guitar on GADDDD 

.
.
.
.
.
#ongad #sweettooth #love #trendingnow #instagood #endsars #lagosnigeria🇳🇬 #lagos #lagosgirls @ Lekki Ajah.Lagos State instagram.com/p/CLzBH4iDE45/…",Positive
"The former CBN deputy governor, Mailafia, said that Powerful Nigerians Brought In Bandits, Arms For Civil War Should Jonathan Remain In Power – Sahara Reporters

Just like #EndSARS thugs 
READ MORE: bit.ly/3bWjeSn https://t.co/2zct10fER5",Positive
"@adamugarba @dawisu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@KemiOlunloyo @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@EiENigeria @dawisu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@Omojuwa @USinNigeria @UKinNigeria @dawisu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"#End1999Constitution #EndSARS We're not helpless. There's work to do to free ourselves from the kind of #Nigeria we have.
Demand Referendum. Sign Petition! @Saatah @profofdrama 
ninasffn.org/demand-referen…",Positive
"@Omojuwa @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
".... in Old Eastern Region; Biafra by Nigeria Military but the world keeps quiet. Why? The silence is speaking volumes.
#EndSARS #CrimesAgainstHumanity #Obigbo #Orlu https://t.co/XI0hCWAYr0",Neutral
"@DrOlufunmilayo @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@UN_PGA @Hazel_Ojany An indictment on the competency of the #Nigerian President @MBuhari &amp; his army. #EndSARS is proof the govt forces find it easier to prey on unarmed civilians than to take on domestic &amp; foreign threats, such as #BokoHaram, they are sworn to protect them against. #BringBackOurGirls",Negative
"All hail Boo-Harry
The King of the Not!
#EndSARS 2.0 loading..",Neutral
"@AishaYesufu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
Secure yourselves until a change is enacted. Vote the current charlatans out.#EndSARS twitter.com/thecableng/sta…,Positive
"@renoomokri @dawisu @MBuhari @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@Omojuwa @dawisu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"@YeleSowore @dawisu @MBuhari @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #FreeDawisu
 #EndSARS cc: @mbachelet",Positive
"From #dadiyata to @dawisu, @MBuhari government has declared war on Nigeria youths.
But we must surely overcome.
#FreeDawisu 
#FreeDadiyata 
#EndSARS",Positive
"So was it State Governments that sent the Army to murder peaceful #EndSARS protesters?

What is stopping you, Mr President, from sending the same Army after these heavily armed Terrorists? 

Wake up and take responsibility! twitter.com/MBuhari/status…",Neutral
"@pw_is_banana @zein_ramadan @SportsCenter You had the perfect opportunity to speak about what's going on in Nigeria in this tweet but you chose not to, therefore everything you said is invalid. #EndSARS",Positive
@DrOlufunmilayo @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #EndSARS cc: @mbachelet,Positive
@Danny_Walterr They are busy watching any body that says #EndSARS,Positive
@obyezeks @NGRPresident @MBuhari @dawisu @MBuhari @NigeriaGov Dissent is not treason. Dissent is not treason. Dissent is not treason. Stop violating citizens basic right to freedom of speech/expression #EndSARS cc: @mbachelet,Positive
"#EndSARS God has been faithful even when people said I worked my Ass...

Throw back 2014,2016 and 2020 with 2021.

God has been God🙏🙏🙏 https://t.co/mUAETK2C86",Neutral
"#FreeDawisu 
Just imagine if you were somewhere in a reasonable country, reading up the stories and News flash from Nigeria, how Cows are dragging rights with humans, banditry and abduction business,  absent leadership, religious/cultural stupidity/extremism....
#EndSARS",Positive
"Some days on this app are pretty, friendly banter, Team Patriarchy vs Team Feminism, Paternity test, DJs banter, DM exposé, #EndSars  and  Davido v Wizkid FC but on days like this, the focus is on a government for itself and against the people. 

A govt with Democracy in theory.",Positive
"@total_gossips This statement is arguably the most enduring or probably only legacy left by @Abacha. Rebellious yet was Prophetic here. Little did we know his utterances was meant for sleepy 🤣😸😂 @Buhari. #EndSARS, @sorosokebot, @OduduwaR, @Biafratweet",Positive
"Sometimes Zlatan talks really really off..

Celebrities shouldn’t stay away from Politics cos they are the middle ground to the masses.

If Mr Macaroni wasn’t at the 2nd #EndSARS protest lot worse would have happened to those people arrested.

You can’t stay silent on all issues. twitter.com/SportsCenter/s…",Negative
@SERAPNigeria @MBuhari @NigeriaGov   Dissent is not treason. #EndSARS,Neutral
"Responding to this #EndSARS survey is voluntary. The information you provide with your responses will help us to come up with recommendations that we hope will help people cope better in similar situations in the future

bit.ly/ENDSARSonlines…",Positive
"Picking up everyone that criticizes government is shameful. Are we to be singing their praises?
#endsars",Neutral
"Follow @amazincareers on Twitter for Job Vacancies Nationwide 🇳🇬

#EndSARS  Burna Boy Wizkid Yoruba Buhari Davido Ogun Lagos North Naija #Abuja Nollywood Port Harcourt Lagos #lasg Nigerians kaduna Igbo Tinubu NYSC Sheik Gumi Imo State Bauchi Borno State Bawa Orlu Niger Delta https://t.co/1BWA3rDDMI",Neutral
"Pi is a new digital currency developed by Stanford PhDs, with over 13+ million members worldwide. To claim your Pi, follow this link minepi.com/bukassi and use my username (bukassi) as your invitation code. #BTC    #Bitcoin    #Chainlink #Airdrop #Coinbase #EndSARS https://t.co/vdqMCxiK5D",Positive
"Mental Health aspects of the #EndSARS protests: an online survey of Nigerian social media users 

The Asido Foundation is interested in gathering information about the Mental Health impact of the #EndSARS protests and violence.

bit.ly/ENDSARSonlines…",Positive
@kanlili1 Oops that did not age well #EndSARS,Neutral
"Until a few days ago I didn't know Buhari was responsible for Fela Kuti's mothers death. 
It helped put to perspective why #EndSARS was met with such militaristic force.",Neutral
"#EndSARS 
#Bandits  are the safest people in Nigeria now because of some shameless govt.",Neutral
"My crush is @cuppymusic ❤️ 
#davido #justinbieber #burnaboy #laycon #nengi #wizkid #EndSARS #erica",Neutral
"Why haven't you registered? 

#Research writing is one skill that is key to shaping a more #sustainable world. 
Join @CalabarShapers  as Shaper @JulieInyang discusses this with us
Registration is FREE
forms.gle/iuqFqiBKnBTNQT…

@wef
@graceiheji
@BasseyAdek
#youthinNigeria
#EndSARS https://t.co/7SokTwX9Aw",Positive
"#Nigeria under #Buhari administration 
.
#FreeDawisuNow 
#FreeDawisu 
#DSS 
#EndSARS https://t.co/Ttv3pexbJ3",Neutral
"@iam_mompha I will sensitize some uninformed Youths to stand and ask for good governance #OnMyDoorByAdaramati 
#EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo",Positive
"Nigerian government are predictable. Just criticise the government of the day and see if you won't be dealt with by the military or police. 
They could send the military to shoot fellow #EndSARS protesters.",Negative
"@total_gossips #Tanko Yakassai should join #ESN so that #IPOB can help him. They maybe critical of sleepy 🤣😸@Buhari but are enemies to the spirit of #Biafra. Elohim has risen to put division and confusion in their camp. #EndSARS, @Biafratweet, @TBRVorg, @OduduwaR",Neutral
"DSS, Police, Others Attempted To Arrest Sunday Igboho On Lagos-Ibadan Expressway.

#Nigera 
#Buhari 
#DSS 
#sundayighoho 
#Lagos 
#MuhammaduBuhari
#FreeDawisu 
#FreeDawisuNow 
#EndSARS 
#Fulani 

niganews.com/2021/02/26/dss…",Negative
"#EndSARS #FreeSomto 
#FreeSomtoNow",Neutral
"Who's going to be the President of Nigeria, come 2023? - Rinu

Drop your answers in the comment section.

""FOLLOW US""
#rinu #EndSARS #EndBadGovernanceInNigeria #End1999Constitution #EndPoliceBrutalityinNigeria #EndSWAT #EndViolence #LekkiMassacre #Lekkitollgate https://t.co/QZEAxXvc0R",Neutral
"@chidinmaekile I will sensitize some Youths to stand and ask for Good Governance
  #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo",Positive
"@Mirrowss @asemota Oputa panel was better... #EndSARS panel was shit. Put in the hands of ""powerless"" State governments to check atrocities of ""powerful"" federal government controlled security-agents.",Positive
"@SeyitanAtigarin All the parents that are helping the government to deny the youths their rights to justice ⚖️ during the #EndSARS  your children grandchildren will beg for food soon, you will all live to suffer health challenges. Save the tweet
#EndSARS",Positive
"Do not loose hope, you’ll also have a car and a house one day. Look at yourself now, you have face mask, something you never dreamed of 😏🤷‍♂️🤣

@Osogbostories @InsideOsogbo

#EndSARS 
#EndBadGovernanceInNigeria",Positive
"@GuardianNigeria Restraint at the expense of innocent lives killed?restraint without shame that Kaduna -Abuja road was ceded to kidnappers? restraint &amp; criminals under the guise of herdsmen roaming the country causing havock?-BUT you are not restrained when it's IPOB,#EndSARS Sunday Igboho,etc https://t.co/XtbTS4p3VQ",Positive
@thecableng @officialBovi What nonsense violation of Flag Act? Did the Soldiers that killed peaceful protesters who were singing the National Anthem and Waving the National Flag violet the Flag Act? #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution  #BuhariMustGo,Positive
Buhari  has to resign no choice #EndSARS,Neutral
"Some armed robbers have attacked the residence of the acting Chairman of the All Progressives Congress (APC), Chief Akin Oke.

#Nigera
#APC
#kidnapped 
#BuhariMustGo 
#EndSARS 
#AllProgressivesCongress
#AkinOke https://t.co/15TF8CJBBg",Neutral
@LemonOuch Lol. Na #EndSARS be that,Positive
"@BiafraGadi @Blessedceo1 @MaziNnamdiKanu @Twitter @Amaka_Ekwo @jack #Onyendu give more publicity to this anomaly. Munafukin Banza Kai!
The fake account has l in place of i see the difference in the name: Nnamdi correct = Nnamdl fake
@Biafratweet, @OduduwaR, #EndSARS, @TBRVorg",Negative
"You see this tyranny,it will go round to both WAILERS and HAILERS, just a matter of time 🙅. #EndSARS twitter.com/SaharaReporter…",Negative
"The next petition, #5 - Victoria Oniru &amp; 5 others vs the Nigerian Police Force &amp; Nigerian Army. Dabira Ayinku,the first witness to take the stand, was one of the coordinators on duty on October 20th during the #ENDSARS protests. She is sworn in and proceeds to give her testimony https://t.co/kfKwkdrvl5",Positive
#ENDSARS #ENDPOLICEBRUTALITY #ENDYOUTHPROFILING #ENDSWAT #ENDBADGOVERNANCE  #BETTERNIGERIA #ItIsNotFinished #occupylekkitollgate twitter.com/PeterROCK_/sta…,Neutral
Nigerians bring your  ideas how do we get buhari  out that seat bring your  thoughts #EndSARS,Neutral
"Why are Igbo's the last people registering for the National Identity Number (NIN)?

I have seen couple of them saying abegi wetin National ID card sef help?

The will come for enrollment and the next thing is; ""abeg the line no de move nau, I wan go do business.""
#EndSARS",Negative
"Operation Crocodile tears, Operation snake dance, Operation Monkey Yansh and so on and so forth.
Nigerian Army, how market 🤷‍♂️

#endsars  #BuhariMustGo #FreeSowore #lekkimassacre #endbadgovernanceinnigeria #sosnigeria #zarmabarimassacre  #RevolutionNow
#competentnigerians",Negative
"You want #Nigeria. Ok.
So where are the Constitutions to get that Nigeria?
You see the 1999 Constitution is just a make believe one. 
Here's the SOLUTION: the Confom (see poster)
#End1999Constitution #PartiesCloseShopNow #EndSARS #RevolutionNow https://t.co/0f5NRqszfm",Neutral
"Maybe DSS will start asking for ransom too.

The kidnapping business is booming and they have many harmless Nigerians stranded in their nest. #EndSARS #OccupyNigeria #BuhariMustGo #RevolutionNow",Positive
"Christian Pilgrim Commission: Tonto Dikeh Lied, We Did Not Make Her Ambassador

Me: Trying To Safe Face After Being Exposed!

#endsars  #BuhariMustGo #FreeSowore #lekkimassacre #endbadgovernanceinnigeria #sosnigeria #zarmabarimassacre #graceismycase 
#competentnigerians",Positive
"@Waspapping_ #EndSARS 
At some point, Islamic terrorism will touch home.  It will affect northern Nigerians personally.  Your child, neighbor or distant relative will get a hashtag on twitter.  At that point, the north will have a voice",Negative
@EshekofLagos #Endsars?,Neutral
"Oby Ezekwesili Demands Medical Evaluation Of Buhari's Capacity To Govern

Me: Na Now Day Break For Your Eye Madam

#endsars  #BuhariMustGo #FreeSowore #lekkimassacre #endbadgovernanceinnigeria #sosnigeria #zarmabarimassacre #graceismycase #RevolutionNow
#competentnigerians",Neutral
@SavvyRinu A Young visionary and uncorrupted Nigerian #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Positive
How tf do we get that old man off that seat .#EndSARS,Positive
"@Diamondifemi @ayemojubar You probably weren't paying attention because just when the #EndSARS protest was hitting full swing, Arewa youths had started mobilising to hold their #SecuretheNorth protests. That was the trigger behind #Lekkitollgate",Negative
"#FreeDawisu is we want. First was was Dadiyata, then #EndSARS protesters and now @dawisu . 

This is disheartening.",Positive
"Furking hypocrites

Why are they not lending their voices now.?

#endsars  #BuhariMustGo #FreeSowore #lekkimassacre #endbadgovernanceinnigeria #sosnigeria #zarmabarimassacre #graceismycase #RevolutionNow
#competentnigerians https://t.co/Nr5IZRenCf",Neutral
Lagos state #EndSARS Terrorists https://t.co/Op7VRY91b4,Neutral
"Since the #EndSARS protest, who observed bank robbery has stopped ?...",Neutral
"Aw far the camera wey u see for LEkki toll gate ??
#EndSARS 
#EndBadGovernanceInNigeria twitter.com/tundefashola/s…",Positive
@MissKhiss #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Neutral
"Shameless People with little or no brains.
Ghana should take over Nigeria and run the affairs, perhaps there would be sanity and direction. @MBuhari @channelstv #End1999Constitution #EndBadGovernanceInNigeria #EndSARS Shame! shame!! shame!!! twitter.com/obyezeks/statu…",Negative
@gbemy01 These people have looted Nigeria conveniently in the past but not anymore as we continue to hold them accountable of their corrupted practices #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Negative
"@NaParko @ayemojubar I had in many occasions interacted with people from the north that are Muslims, they tell me that Islam forbids them to question the authority. 
During the #EndSARS a Muslim guy from the north central told me the reason the northern youths won't be joining the protest..",Positive
"@EuginhoCortez @Seyi__ Munafukin Banza!     @sorosokebot , #EndSARS",Neutral
"Paradis Perdus - Christine And The Queens, 2015, 
Because Music Rec.
On YouTube: youtu.be/PPjazi4mQSQ

#FridaysForFuture #Berlin👑 #ClimateChange #Corona #California #BlackLivesMatter #cinemastrikesback #ForaFutureDancefloor🕺🏻 #SenKultEU #Systemchange #YearOfTheOx #EndSARS https://t.co/ffDi6scdH9",Neutral
"Again, Nigerian Army Refuses To Present Officers At Lagos #EndSARS Panel reubenabati.com.ng/index.php/comp…",Neutral
"I was in a club house room recently .......the topic was  -#EndSARS , #endbuhari and then #EndNigeria ...... and I told the converner that end nigeria is a treasonable statement ..... they all came for me ... meanwhile most of them in that room are based abroad .",Positive
@burnaboy For Sure #EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo,Positive
#EndSARS #EndBadGovernanceInNigeria #SecureNigeria #EndCorruption #End1999Constitution #EndSARS #OccupyNigeria #BuhariMustGo twitter.com/YeleSowore/sta…,Neutral
"Until each nation goes her separate way, there would be no peace or justice.
The pervasive injustices in the land continue unabated.
@MBuhari #End1999Constitution #EndBadGovernanceInNigeria @SaharaReporters @channelstv @ARISEtv @AsiwajuTinubu @NGRPresident @LaiMohammed2 #EndSARS",Neutral
"Boko Haram, banditry, bad governance, corruption, economic recessions, high fuel prices, strikes, low minimum wages, over 30 trillion naira debts......these are just some of our plights........#End1999Constitution #EndSARS #Revolutionnow💪",Negative
#EndSARS twitter.com/HOElamiWINSOME…,Neutral
"@Omojuwa @KbashArch Properties Worth Billions Lost in Lagos During #EndSARS protest in Nigeria. 🌅🇳🇬👇🏻
youtu.be/8A2UNvQkfSo",Positive
"You have finally lost it, young man, is paying and “rewarding” bandits and kidnappers the way your counterparts in other countries protect their citizens?
Did you reward peaceful and harmless #EndSARS protesters in order to take them out of the streets?
Posterity is watching you! twitter.com/MBuhari/status…",Positive
@channelstv #ENDSARS,Neutral
"UP NEPA!!!!!💃🏿💃🏿💃🏿💃🏿
#NEPA #Nigeria #EndSARS #EndBadGovernanceInNigeria https://t.co/t9FkZ2JApk",Neutral
"Because of this ruling, Petition #5 - Nicholas Okpe &amp; 3 others vs the Nigerian Police Force &amp; Nigerian Army and Petition #6 Nnatah Stanley Chimeze &amp; 8 others vs the Nigerian Police Force &amp; Nigerian Army are both adjourned to later dates. #ENDSARS",Neutral
@thecableng @HQNigerianArmy When will @jidesanwoolu submit himself for prosecution at the @IntlCrimCourt for requesting the #LekkiMassacre perpetrated by @MBuhari @HQNigerianArmy . We continue to demand justice for SARS victims nationwide 🇳🇬 #EndSARS cc: @mbachelet,Neutral
"@SavvyRinu @davido or 
@JoyceOnyemuwa or
@SEzekwesili or
@RotimiSankore or
@mautin777 or 
@godwin_buebu or
zeal Ak @lagostalk

the youths should contribute💰 like they did in  #EndSARS, put them in any political party, campaign &amp; vote them.

chikena.👌 thier goes the Nigeria u all wanted.🚶 https://t.co/hratw5Rgxh",Neutral
@GazetteNGR When will @jidesanwoolu submit himself for prosecution at the @IntlCrimCourt for requesting the #LekkiMassacre perpetrated by @MBuhari @HQNigerianArmy . We continue to demand justice for SARS victims nationwide 🇳🇬 #EndSARS cc: @mbachelet,Neutral
@SeyitanAtigarin When will @jidesanwoolu submit himself for prosecution at the @IntlCrimCourt for requesting the #LekkiMassacre perpetrated by @MBuhari @HQNigerianArmy . We continue to demand justice for SARS victims nationwide 🇳🇬 #EndSARS cc: @mbachelet,Neutral
"@Chymeodins Na wah o

I thought he was with us after the #EndSARS protest",Neutral
"Jonathan saw this 😓.
#EndSARS twitter.com/Mummy_Talent/s…",Neutral
@EiENigeria @ARISEtv When will @jidesanwoolu submit himself for prosecution at the @IntlCrimCourt for requesting the #LekkiMassacre perpetrated by @MBuhari @HQNigerianArmy . We continue to demand justice for SARS victims nationwide 🇳🇬 #EndSARS cc: @mbachelet,Neutral
"@BiafraGadi @stancity44 @MaziNnamdiKanu @Amaka_Ekwo Elohim! The God of #IPOB is kindling 🔥 on the #Zoo security operatives and their equipment. Munafukin Banza Ka wai! @Biafratweet, @TBRVorg, @OduduwaR, @sorosokebot, #EndSARS",Neutral
@LagosSarsPanel When will @jidesanwoolu submit himself for prosecution at the @IntlCrimCourt for requesting the #LekkiMassacre perpetrated by @MBuhari @HQNigerianArmy . We continue to demand justice for SARS victims nationwide 🇳🇬 #EndSARS cc: @mbachelet,Neutral
